id,product_name,brand,category,description,price,sku,upc,seller_name,updated_at
1,Apple iPhone 15 Pro 256GB Black Titanium,Apple,Cell Phones & Accessories,Latest iPhone with A17 Pro chip and titanium design. Features 48MP camera system and USB-C connectivity.,1199.99,AIPH15P256BT,194253945123,TechWorld Direct,2024-01-01 00:00:00
2,iPhone 15 Pro 256 GB Black,apple,Electronics,The new iPhone 15 Pro in black titanium finish. A17 Pro processor with advanced camera capabilities.,1179.00,AIPH15P256BT,194253945123,MobileDeals Plus,2024-01-03 00:00:00
3,Apple iPhone 15 Pro - 256GB - Black Titanium (Unlocked),Apple,Smartphones,Unlocked iPhone 15 Pro with 256GB storage. Pro-grade camera system and all-day battery life.,1149.95,AIPH15P256BT,194253945123,GadgetZone,2024-01-07 00:00:00
4,Samsung Galaxy S24 Ultra 512GB Titanium Gray,Samsung,Cell Phones & Accessories,Galaxy S24 Ultra with built-in S Pen and 200MP camera. AI-powered features for productivity.,1419.99,SGS24U512TG,887276723891,TechWorld Direct,2024-01-01 00:00:00
5,SAMSUNG Galaxy S24 Ultra 512 GB - Titanium Gray,SAMSUNG,Electronics,S24 Ultra flagship smartphone with Snapdragon 8 Gen 3. Includes S Pen and quad camera array.,1399.00,SGS24U512TG,887276723891,MobileDeals Plus,2024-01-05 00:00:00
6,Galaxy S24 Ultra 512GB Gray (Samsung),samsung,Smartphones,Flagship Samsung phone with 200MP main camera and built-in stylus. Titanium build for durability.,1389.99,SGS24U512TG,887276723891,PhoneWarehouse,2024-01-10 00:00:00
7,Sony WH-1000XM5 Wireless Noise Cancelling Headphones Black,Sony,Headphones,Industry-leading noise cancellation with 30-hour battery life. Ultra-comfortable design.,349.99,SNYWH1000XM5B,027242923782,AudioMax,2024-01-01 00:00:00
8,Sony WH1000XM5 Over-Ear Noise Canceling Headphones,SONY,Audio & Electronics,Premium wireless headphones with best-in-class ANC. Multipoint connection and speak-to-chat.,329.95,SNYWH1000XM5B,027242923782,SoundStudio Online,2024-01-04 00:00:00
9,WH-1000XM5 Wireless Headphones - Black (Sony),Sony,Headphones & Earbuds,Top-rated over-ear headphones with adaptive noise cancellation and LDAC Hi-Res Audio support.,339.00,SNYWH1000XM5B,027242923782,TechWorld Direct,2024-01-08 00:00:00
10,Apple MacBook Air 15 inch M3 256GB Midnight,Apple,Laptops,Thin and light 15-inch laptop powered by M3 chip. 18 hours of battery life.,1299.00,AMBA15M3256MD,194253436348,TechWorld Direct,2024-01-01 00:00:00
11,MacBook Air 15" M3 Chip 256 GB - Midnight,apple,Computers & Tablets,The new MacBook Air with M3. Stunningly thin 15.3-inch Liquid Retina display.,1279.99,AMBA15M3256MD,194253436348,LaptopHub,2024-01-06 00:00:00
12,Apple MacBook Air (15-inch M3) 256GB Midnight Blue,Apple,Laptops & Computers,Ultra-portable MacBook Air with Apple M3 processor and all-day battery. Fanless design.,1249.00,AMBA15M3256MD,194253436348,CompuMart,2024-01-12 00:00:00
13,Dyson V15 Detect Absolute Vacuum Cleaner,Dyson,Vacuums & Floor Care,Intelligent cordless vacuum with laser dust detection. HEPA filtration and LCD screen.,749.99,DYNV15DETABS,885609027258,HomeEssentials,2024-01-01 00:00:00
14,Dyson V15 Detect Absolute Cordless Vacuum,DYSON,Home Appliances,Powerful cordless vacuum that reveals microscopic dust with a laser. Up to 60 min runtime.,729.00,DYNV15DETABS,885609027258,CleanLiving Store,2024-01-09 00:00:00
15,V15 Detect Absolute (Dyson) Cordless Stick Vacuum,Dyson,Home & Kitchen,Dyson's smartest cordless vacuum. Piezo sensor measures dust and auto-adjusts suction power.,699.95,DYNV15DETABS,885609027258,TechWorld Direct,2024-01-15 00:00:00
16,Bose QuietComfort Ultra Earbuds White Smoke,Bose,Headphones & Earbuds,Immersive audio with spatial sound and world-class noise cancellation. CustomTune technology.,299.00,BSEQCUEBWS,017817847131,AudioMax,2024-01-01 00:00:00
17,BOSE QuietComfort Ultra Earbuds - White,bose,Audio & Electronics,Premium true wireless earbuds with Immersive Audio mode. Up to 6 hours of battery.,279.99,BSEQCUEBWS,017817847131,SoundStudio Online,2024-01-05 00:00:00
18,Bose QC Ultra Earbuds White Smoke,Bose,Earbuds,World-class noise cancelling earbuds with breakthrough spatial audio. Comfortable all-day fit.,289.00,BSEQCUEBWS,017817847131,MobileDeals Plus,2024-01-11 00:00:00
19,LG C4 65 inch OLED evo 4K Smart TV 2024,LG,TVs & Home Theater,Self-lit OLED pixels for perfect blacks. Alpha 9 Gen 7 AI processor with Dolby Vision.,1799.99,LGC465OLED24,195174038529,HomeEntertainment Pro,2024-01-01 00:00:00
20,LG 65" Class C4 Series OLED evo 4K UHD Smart TV,lg,Electronics,65-inch OLED TV with infinite contrast and AI-powered picture quality. webOS 24 smart platform.,1749.00,LGC465OLED24,195174038529,TechWorld Direct,2024-01-08 00:00:00
21,65 Inch LG C4 OLED 4K TV (2024 Model),LG,Televisions,Premium OLED with zero blooming and 0.1ms response time. Perfect for gaming and movies.,1699.95,LGC465OLED24,195174038529,ScreenDeals,2024-01-14 00:00:00
22,Nintendo Switch OLED Model White,Nintendo,Video Games & Consoles,Enhanced Switch with 7-inch OLED screen and wide adjustable stand. 64GB internal storage.,349.99,NTDSWOLEDWH,045496883386,GameStop Plus,2024-01-01 00:00:00
23,Nintendo Switch OLED - White Joy-Con,NINTENDO,Gaming,Switch console with vibrant OLED display. Tabletop mode enhanced with wider adjustable stand.,339.95,NTDSWOLEDWH,045496883386,TechWorld Direct,2024-01-06 00:00:00
24,Instant Pot Duo 7-in-1 Electric Pressure Cooker 6 Quart,Instant Pot,Kitchen Appliances,Multi-use programmable pressure cooker. Replaces 7 kitchen appliances. Stainless steel inner pot.,89.99,IPTDUO6QT,850icons01237,KitchenDirect,2024-01-01 00:00:00
25,INSTANT POT Duo 6 Qt 7-in-1 Multi-Cooker,instant pot,Home & Kitchen,Versatile electric pressure cooker that also slow cooks and sautes. Easy one-touch programs.,79.95,IPTDUO6QT,850icons01237,HomeEssentials,2024-01-10 00:00:00
